server_id	tool	description	input_fields	siblings	label	check	hint_conflict
ebowman/mcp-server-things/things_mcp	get_logbook	Get completed (and, by default, canceled) todos from Logbook. Supports limit (max 500), offset, and period filters (e.g., '7d', '1w').	limit,period,offset,include_canceled	get_todos: Get todos with context-aware response optimization. Supports mode parameter (auto/summary/minimal/st | create_tag: Create a new tag. Note: For human use only, AI should ask users to create tags. | add_todo: Create a new todo. Supports scheduling (when='today', 'tomorrow', 'YYYY-MM-DD'), tags, projects, dea | update_todo: Update an existing todo. Supports partial updates to any field including status, scheduling, tags, a | bulk_update_todos: Update multiple todos with the same changes in a single operation. | add_checklist_items: Add checklist items to an existing todo. Items will be			
refreshdotdev/web-eval-agent	setup_browser_state	Sets up and saves browser state for future use.	url	web_eval_agent: Evaluate the user experience / interface of a web application.			
markswendsen-code/mcp-instacart	instacart_compare_prices	Compare prices for a product across all available stores near you. Returns results sorted cheapest-first with store name and price-per-unit on each result.		instacart_status: Check Instacart login status and session info. Use this to verify authentication before performing o | instacart_login: Initiate Instacart login flow. Returns a URL and instructions for the user to complete login manuall | instacart_logout: Clear saved Instacart session and cookies. Use this to log out or reset authentication state. | instacart_search: Search for products on Instacart. Returns product names, prices, and availability. | instacart_add_to_cart: Add a product to the Instacart cart. Searches for the product and adds the first matching result. | instacart_view_cart			
ColeMurray/moondream-mcp/moondream_mcp	analyze_image	Multi-purpose image analysis tool with typed parameters.	image_path,operation,question,object_name,length,stream	caption_image: Generate a caption for an image. | query_image: Ask a question about an image (Visual Question Answering). | detect_objects: Detect specific objects in an image. | point_objects: Point to specific objects in an image (get coordinates). | batch_analyze_images: Analyze multiple images in batch with parallel processing and typed parameters.			
sneldao/ligis/mcp-server	ligis-sign-credential	Build and sign a credential off-chain. Returns digest, signature, and a submission hint. The chain adapter		ligis-issue-id: Mint a portable Agent ID for a controller wallet. Returns the new agent id and DID. Requires PRIVATE | ligis-verify: Read-only. Returns whether a subject wallet currently holds a valid (non-revoked, non-expired) crede | ligis-revoke: Revoke a previously-issued credential. Only the original issuer can revoke. Permanent. Defaults to t | ligis-rotate: Rotate the controller of an existing Agent ID. The caller must be the current controller. Credential | ligis-hash: Compute the keccak256 hash of a capability name. Chain-neutral — the same hash identifies the capabi | ligis-run-stewa			
michalstrnadel/scorekeeper	get_digest	Compact normative digest (< 50 lines) for context injection: conflicts		get_scoreboard: Full human-readable scoreboard (active + superseded/retracted history). | assert_commitment: Record a commitment through the full operator pipeline (Tier-0 collisions, | check_compatibility: Dry-run: would this claim collide with active commitments? Nothing is | supersede: Explicitly replace a commitment with an entitled revision (both directions | challenge: Challenge a commitment's entitlement (Brandom: demand the reason). The | retract: Retract a commitment (status transition — the record is kept).			
Storybloq/storybloq/mcp	storybloq_ticket_next	Highest-priority unblocked ticket(s) with unblock impact and umbrella progress	count	storybloq_bus_send: Send an advisory peer-agent message through the local Storybloq Bus. Confirmed critical findings req | storybloq_bus_redeliver: Redeliver a hop-cap-parked Bus message onto a fresh successor thread. The redelivered message is alw | storybloq_bus_poll: Poll this task-bound endpoint for unacknowledged peer-agent messages. Every message is marked as adv | storybloq_bus_ack: Acknowledge one Bus message addressed to this endpoint. Acknowledgment records delivery disposition  | storybloq_bus_thread_get: Read the verified prefix and folded state of a Bus thread as a participant end			
dkedar7/streamlit-mcp/streamlit_mcp	click	Click a button (by key or label) and rerun.	identifier	list_widgets: List the app's widgets with their MCP tool schemas. | get_layout: Full layout: widgets, rendered outputs, session_state, unsupported elements. | set_widget: Set a widget (by key or label) to a value and rerun. | read_output: Read the rendered element tree and session_state. | get_state: Return the app's session_state.			
just-every/mcp-read-website-fast/mcp	read_website	Fast, token-efficient web content extraction - ideal for reading documentation, analyzing content, and gathering information from websites. Converts to clean Markdown while preserv					
yasdelayu/kie-mcp-kit	kie_workflows	Load a bundled KIE workflow (a SKILL.md that orchestrates the kie_* tools). MUST USE before bulk/multi-step content — a campaign, a batch of UGC ads, a faceless YouTube video,	workflow	kie_post: POST to any KIE.ai endpoint — submit a generation task (usually | kie_get: GET from any KIE.ai endpoint — poll task status (usually | kie_upload_file: Upload a local media file to KIE storage. Returns a hosted URL (~3-day TTL) for @Image/@Video refere | kie_download: Download a result URL to local disk. For an image, preview=true (default) also returns a small inlin | kie_fetch_model_docs: Fetch a KIE model's live docs (from docs.kie.ai/market/...), cached ~3 | kie_workflow_file: Read a reference file a workflow's SKILL.md points to (e.g. content-factory's			
entropy-data/dataproduct-mcp/dataproduct_mcp	dataproduct_search	Search data products based on the search term. Only returns active data products.	search_term	dataproduct_get: Get a data product by its ID. The data product contains all its output ports and server information. | dataproduct_request_access: Request access to a specific output port of a data product. | dataproduct_query: Execute an SQL query on a data product's output port.			
danny-avila/LibreChat	tavily_search_results_json	A search engine optimized for comprehensive, accurate, and trusted results. Useful for when you need to answer questions about current events.	schema,query				
Dicklesworthstone/ultimate_mcp_server	search_knowledge_base	Search for information in the knowledge base using keywords and filters.	query,filters,limit				
dcaoyuan/mcp-stock-chart	generate_stock_chart	Generates technical analysis candlestick charts for specified stocks or cryptocurrencies. Returns a PNG image.	ticker,timeframe,scheme,saveToLocal				
playcanvas/editor-mcp-server/tools	set_viewport_visibility	Hide or show entities only in the editor viewport without changing their persisted enabled values.	ids,hidden	get_animation_events: Get the stable-id event map for a GLB animation asset, including time and optional number/string pay | modify_animation_events: Add, update, or remove GLB animation events as one undoable transaction. Times are normalized from 0 | get_anim_state_graph: Get the complete structural data for an anim state graph asset, including layers, states, transition | modify_anim_state_graph: Apply a validated batch of structural operations to an anim state graph as one undoable transaction. | create_assets: Create one or more native data/text assets. Imported binary assets use upload_a			
niuniu-869/dsh-plugin-cas-kb	china-accounting-standards	查中国大陆会计准则（企业会计准则 / 小企业会计准则）、中国注册会计师执业准则					
Abhigyan-Shekhar/Waggle-mcp	load_abhi_for_session	Use this Waggle Site tool when the user attaches a .abhi file and asks to load or discuss it for this browser session. Pass the attached file bytes as base64. The file is parsed in		get_project_brief: Use this read-only Waggle Site tool when the user asks to catch up on, brief, summarize, or get the  | recall_memory: Use this read-only Waggle Site tool when the user asks what was decided, remembered, constrained, or | propose_memory_change: Use this Waggle Site tool when the user asks to correct, replace, or propose a better version of an  | apply_approved_memory_change: Use this Waggle Site tool when the user explicitly asks to apply a proposal that a human already app			
MaxEllis/orcaslicer-mcp/orcaslicer_mcp	edit_preset	Edit a named preset's settings and persist them: selects it, applies the	type,name,changes	get_status: Snapshot of the current OrcaSlicer session: app and project info, the active | get_config: Read merged config values (optionally filtered to `keys`). | set_config: Apply config changes to the active project as unsaved overrides, atomically: if any | slice: Start slicing the current plate in the background and return immediately, without waiting | get_slice_status: State of the current or most recent slice: state (slicing, done, error, or idle), stats | get_slice_warnings: Just the warnings/errors from the last (or current) slice, plus validity - the | get_slice_breakdown: Per-featu			
bethington/ghidra-mcp	connect_instance	Switch the MCP bridge to a different Ghidra instance by project name.	project	"_list_instances_tool: (no usable description) | list_tool_groups: List all available tool groups with their tool counts and loaded status. | load_tool_group: Load all tools in a category. Accepts a category name or ""all"" to load everything. | unload_tool_group: Unload all tools in a category. Default groups are protected from unloading. | check_tools: Check if specific tools are callable right now. Returns status for each tool: | search_tools: Search the full Ghidra tool catalog by keyword — including tools whose group | import_file: Import a binary file from disk into the current Ghidra proje"			
adeze/raindrop-mcp/services	export_markdown	Render bookmarks as Markdown list with title, link, tags, and excerpt.		organize_by_topic: Analyze titles/excerpts and suggest collections + tags for organization. | find_duplicates: Identify potential duplicate bookmarks using URL + title similarity.			
madamak/apache-airflow-mcp-server/airflow_mcp	airflow_list_dags	List DAGs (pause state + UI link) for the target instance.	instance,ui_url,limit,offset	airflow_list_instances: List configured Airflow instance keys. | airflow_describe_instance: Describe a configured Airflow instance (host + metadata, never secrets). | airflow_resolve_url: Parse an Airflow UI URL, resolve instance and identifiers. | airflow_get_dag: Get DAG details and a UI link. | airflow_list_dag_runs: List DAG runs (defaults to execution_date DESC) with per-run UI URLs. | airflow_get_dag_run: Get a single DAG run and a UI link. | airflow_list_task_instances: List task instances within one DAG run, including state and attempt log URLs. | airflow_get_task_instance: Return task			
Xwen0857/agent-orchestrator	orchestrate	Run orchestrator entry agent: /orchestrate start|summary|run|status|help					
nukeop/nuclear/plugin-sdk	fetchArtistBio	Fetch an artist		fetchTopTracks: Fetch top/trending tracks, optionally from a specific provider. | fetchTopArtists: Fetch top/trending artists, optionally from a specific provider. | fetchTopAlbums: Fetch top/trending albums, optionally from a specific provider. | fetchEditorialPlaylists: Fetch editorial/curated playlists, optionally from a specific provider. | fetchNewReleases: Fetch new album releases, optionally from a specific provider. | getTracks: Get all favorite tracks. | getAlbums: Get all favorite albums. | getArtists: Get all favorite artists. | addTrack: Add a track to favorites. | removeTrack: Rem			
reminia/zendesk-mcp-server/zendesk_mcp_server	update_ticket	Update fields on an existing Zendesk ticket (e.g., status, priority, assignee_id)	ticket_id,subject,status,priority,type,assignee_id,requester_id,tags,custom_fiel	get_ticket: Retrieve a Zendesk ticket by its ID | create_ticket: Create a new Zendesk ticket | get_tickets: Fetch the latest tickets with pagination support | get_ticket_comments: Retrieve all comments for a Zendesk ticket by its ID | create_ticket_comment: Create a new comment on an existing Zendesk ticket | get_ticket_attachment: Fetch a Zendesk ticket attachment by its content_url and return the file as base64-encoded data. Use			
modelcontextprotocol/modelcontextprotocol	get_weather	Get current weather for a city	city				
ScientiaCapital/unsloth-mcp-server	search_knowledge	Search the knowledge base using full-text search		General: General trading knowledge | check_installation: Check if Unsloth is properly installed | list_supported_models: List all models supported by Unsloth | load_model: Load a pretrained model with Unsloth optimizations | finetune_model: Fine-tune a model with Unsloth optimizations | generate_text: Generate text using a fine-tuned Unsloth model | export_model: Export a fine-tuned Unsloth model to various formats | train_superbpe_tokenizer: Train a SuperBPE tokenizer for improved efficiency (up to 33% fewer tokens) | get_model_info: Get detailed information about a model including architectu			
talhaorak/pytaiga-mcp	get_issue_types	Retrieves the list of issue types for a project.	project_id,session_id	get_default_session: Returns the default session ID if environment-based authentication was successful. | login: Handles Taiga login and creates a session. | list_projects: Lists projects accessible by the authenticated user. | list_all_projects: Lists all projects visible to the authenticated user (scope depends on permissions). | get_project: Retrieves project details by ID. | get_project_by_slug: Retrieves project details by slug. | create_project: Creates a new project. Requires name and description. Optional args (e.g., is_private) via kwargs JS | update_project: Updates a project. Pass f			
robertheadley/chrome-debug-mcp	evaluate	Evaluate JavaScript in Chrome		launch_chrome: Launch Chrome in debug mode | get_console_logs: Get console logs from Chrome			
alvii147/piston-mcp/piston_mcp	run_code	Runs given code in the given language in the Piston remote code execution engine.	language,code				
maorcc/gimp-mcp	warp_region	Warp / liquify a region of the image by pushing pixels in a direction.	vectors,image_index,layer_name	check_server: Check whether the GIMP MCP plugin socket is reachable and responding. | restart_server: Drop and re-establish the connection to the GIMP MCP plugin. | new_canvas: Create a new blank canvas in GIMP and open it in a display window. | get_image_bitmap: Get the current open image in GIMP as an Image object with optional scaling and region selection. | get_image_metadata: Get metadata about the current open image in GIMP without the bitmap data. | get_gimp_info: Get comprehensive information about the GIMP installation and environment. | get_state_snapshot: Return a live visual snapsh			
omermaksutii/mnemo/mcp	mnemo_forget	Delete a memory by id (full or 8-char prefix)	id	mnemo_recall: Semantic recall of stored memories | mnemo_remember: Capture a memory | mnemo_list: List recent memories | mnemo_stats: Show memory engine stats | mnemo_procedure_suggest: Find a procedural workflow that matches a task description, if one exists | mnemo_procedure_run: Retrieve a named procedure as a checklist (use before executing the workflow) | mnemo_entity_context: Everything known about an entity (a named service/module/concept): its memories and directly-related | mnemo_what_depends_on: Graph traversal: which entities transitively require or use the named entity			
john-broadway/proximo/proximo	pve_backup_delete	MUTATION: delete a backup archive (removes a recovery point). Dry-run by default; confirm=True	storage,volid,node,confirm	ct_exec: MUTATION-CAPABLE: run a command inside an LXC (ssh -> pct exec). | ct_psql: MUTATION-CAPABLE: run SQL via psql inside a container (as the db OS user). | audit_entries: READ-ONLY: WHO changed WHAT and WHEN — guest configuration changes and every other | audit_verify: Verify the tamper-evident audit ledger's hash chain — PROVE the log is intact. | pve_agent_exec: MUTATION: run a command inside a guest via the qemu-agent (async, polls for result). | proximo_call: Call any Proximo tool by exact name, including ones not in this server's listed tools. | proximo_recall: READ-ONLY: the estate			
WRG-11/wrg-sigma-rules	validate_rule	Validate a sigma YAML rule for schema correctness, pySigma compatibility, and best-practices linting.	yaml_content,target_backend,strict	convert_rule: Convert a sigma YAML rule into a SIEM-native query string. | draft_rule: Draft a sigma detection YAML rule from a natural-language threat description.			
LWaetzig/google-scholar-search-mcp/google_scholar_search_mcp	search_papers	Search Google Scholar for academic papers by keyword.	query,max_results,year_from,year_to,sort_by,include_patents	search_author: Find a Google Scholar author profile by name. | get_paper_details: Get full details of a specific paper by its title. | get_citations: Get papers that cite a given paper. | bulk_search: Search Google Scholar for multiple queries sequentially with rate limiting. | get_bibtex: Get BibTeX citation entry for a paper.			
alexey-pelykh/linkedctl/mcp	auth_status	Show authentication status for a profile	profile	whoami: Show the current LinkedIn user's name, email, and profile picture URL | auth_revoke: Revoke the access token server-side and clear local credentials for a profile | comment_create: Create a comment on a LinkedIn post. Use as_org to comment as an organization. | comment_list: List comments on a LinkedIn post | comment_get: Get a specific comment by URN | comment_delete: Delete a comment by URN | document_upload: Upload a document to LinkedIn (PDF, DOCX, PPTX, DOC, PPT; max 100 MB). Returns the document URN. | org_list: List LinkedIn organizations the authenticated user administers | org			
OpenBMB/UltraRAG/evaluation	evaluate_trec_pvalue	Compare two TREC run files using permutation test to calculate p-values.	run_new_path,run_old_path,qrels_path,metrics,ks,n_resamples,save_path	evaluate: Evaluate predictions against ground truths using specified metrics. | evaluate_trec: Evaluate retrieval results in TREC format using IR metrics.			
stacklok/toolhive-studio	get_secret_code	Returns a secret code for testing					
oratis/LISA/kb	kb_search	Search the user		kb_read: Read one knowledge-base entry in full, by slug (from kb_search, index.md, or a [[wikilink]]). | kb_links: Show how a knowledge-base entry is connected: what it links to, what links back to it, | kb_list: List knowledge-base entries (title + tags), newest first. Omit layer for both; | kb_add: Capture a new SOURCE into the knowledge base (Layer 1 — raw, immutable). | kb_write: Create or update a WIKI page (Layer 2 — the knowledge you maintain). Your curation tool: | kb_ingest: Save a web page into the knowledge base as a SOURCE (Layer 1): fetches the URL, extracts the			
4R9UN/fastmcp-threatintel/threatintel	analyze_iocs	Analyze IOCs (Indicators of Compromise) using multiple threat intelligence sources.	ioc_string,iocs,output_format,include_stix,include_graph				
AlaeddineMessadi/opencode-mcp/tools	opencode_provider_list	List all configured providers with their connection status. Returns a compact summary — use opencode_provider_models to see models for a specific provider.		opencode_config_get: Get the current opencode configuration | opencode_config_update: Update the opencode configuration. Pass a partial config object with fields to update. | opencode_config_providers: List all configured providers and their default models | opencode_events_poll: Poll for recent events from the OpenCode server. Collects events for the specified duration and retu | opencode_find_text: Search for text patterns in project files (regex supported). Returns file paths, line numbers, and m | opencode_find_file: Find files and directories by name (fuzzy match) | opencode_find_symbol: 			
milisp/awesome-claude-dxt/file-manager-python	get_file_info	Get information about a file	path	list_files: List files in a directory | read_file: Read file contents			
Casys-AI/mcp-std/tools	kill_process	Terminate a process by PID or name using signals. Send SIGTERM for graceful shutdown or SIGKILL to force stop. Use to stop hung processes, restart services, or clean up runaway pro		pml_execute: Execute any task using PML. Describe what you want to accomplish in natural language. | agent_decide: Ask an LLM to make a decision based on context. Returns a boolean or choice from options. Use for co | agent_analyze: Analyze data or content and return structured insights. Use for understanding patterns, identifying  | agent_extract: Extract structured data from unstructured text or content. Define a schema and the LLM will populate | agent_classify: Classify content into predefined categories. Returns the category and confidence. Keywords: agent, c | agent_summarize: Summarize 			
yokingma/one-search-mcp	one_extract	Fetch and preprocess page content from one or more URLs. Returns cleaned text blocks that can be passed to downstream tools or models.		one_search: Search and retrieve content from web pages. Returns SERP results by default (url, title, description | one_map: Discover URLs from a starting point by loading a page in the browser and extracting links from its H | one_scrape: Scrape a single webpage and return markdown, HTML, links, or a screenshot. Supports navigation timeo			
uzerone/ParticlePhysics-MCP-Server	list_decays		particle_id	search_particle: (no usable description)			
stevereiner/flexible-graphrag	search_documents	Search documents using hybrid search	query,top_k	get_system_status: Get the current status of the flexible-graphrag system | ingest_documents: Ingest documents from filesystem, web, or cloud sources. | query_documents: Query documents with AI-generated answers | test_with_sample: Test the system with sample text for quick verification | ingest_text: Ingest raw text content into the knowledge graph | check_processing_status: Check the status of an async processing operation | get_python_info: Get information about the Python environment of the backend | health_check: Check if the backend is healthy and responsive			
aulinx/aulinx	window_screenshot	Take a screenshot of the entire screen. Returns the file path to the saved PNG image.		summarize_text: Summarize text using AI. Give it any text and get a concise summary. | summarize_file: Summarize a file's contents using AI | explain_code: Explain what a piece of code does in simple terms | translate_text: Translate text to another language using AI | rewrite_text: Rewrite text in a different style (professional, casual, concise, formal) | app_launch: Launch an application by name (e.g. 'firefox', 'nautilus', 'gnome-terminal') | app_list_running: List all running GUI applications | archive_create: Create a zip/tar archive from a file or directory | archive_extract: Extract a 			
Beat-YT/omnivox-mcp/mcp	get-college-news	Retrieve the latest news and announcements from the college.		get-calendar: Retrieve upcoming calendar events (classes, exams, assignments, etc.). | get-college-list: Retrieve the list of colleges available to the user. | get-absences: Retrieve absence summaries for all courses in a given term or the current term. | get-course-announcements: Retrieve announcements (communiqués) for a specific course. | get-assignment-detail: Retrieve detailed information about a specific assignment, including instructions, submissions, and  | get-assignment-file-link: Generate a temporary download link for an assignment file (teacher document, student submission, or  | g			
isac322/kwin-mcp/kwin_mcp	clipboard_get	Read the current clipboard content in the isolated session.		session_start: Start an isolated KWin Wayland session, optionally launching an app. | session_connect: Connect to an existing KWin session (e.g. the real desktop or a container). | session_stop: Stop the current session and clean up. | screenshot: Capture a screenshot of the isolated session. | accessibility_tree: Get the accessibility tree of apps in the isolated session. | find_ui_elements: Find UI elements matching a search query and/or required AT-SPI2 states. | mouse_click: Click at coordinates in the isolated session. | mouse_move: Move the mouse cursor to coordinates without clicking. |			
ktanaka101/mcp-server-duckdb/mcp_server_duckdb	query	Execute a query on the DuckDB database	query				
alibaba/page-agent/mcp	stop_task	Stop the currently running browser automation task.		execute_task: Execute a task in user's browser. | get_status: Check the current status of the Page Agent hub.			
derailed-dash/aoc-utils-mcp	get_puzzle_input_data	Fetches AoC puzzle input data for a given year and day.	year,day	get_puzzle: Fetches the AoC puzzle description for a given year and day.			
FlyAIBox/Agent_In_Action	get_daily_forecast	获取指定位置的天气预报	location,days	get_weather_warning: 获取指定位置的天气灾害预警 | search_destination_info: 使用DuckDuckGo搜索目的地信息 | search_weather_info: 搜索目的地天气信息 | search_attractions: 搜索目的地景点和活动 | search_hotels: 搜索酒店信息和价格 | search_restaurants: 搜索餐厅和用餐选择 | search_local_tips: 搜索当地贴士、文化和内部信息 | search_budget_info: 搜索预算和费用信息			
openclaw/Peekaboo	peekaboo_structured_fixture	Exercises the real pinned ToolHandler structured-content gate					
antonbabenko/deliberation	grok-reply	Continue an existing Grok session (in-memory; lost if the MCP server restarts).		gemini: Start a new Gemini expert session | gemini-reply: Continue an existing Gemini session | grok: Start a new Grok (xAI) expert session. Advisory only (no filesystem editing). Supports attaching fil | ask-all: Fan out one question to GPT, Gemini, Grok, and any configured OpenRouter models in parallel for inde | consensus: Run the FULL multi-round consensus convergence loop server-side with a provider arbiter (blind pass  | panel: Return the names of the providers | ask-one: Second opinion from ONE named provider in the active panel (e.g. | analyze: Analyze recent runs from the opt-in debug			
imbenrabi/Financial-Modeling-Prep-MCP-Server/tools	getActivelyTradingList	List all actively trading companies and financial instruments with the FMP Actively Trading List API. This endpoint allows users to filter and display securities that are currently		getAnalystEstimates: Retrieve analyst financial estimates for stock symbols with the FMP Financial Estimates API. Access  | getRatingsSnapshot: Quickly assess the financial health and performance of companies with the FMP Ratings Snapshot API.  | getHistoricalRatings: Track changes in financial performance over time with the FMP Historical Ratings API. This API provi | getPriceTargetSummary: Gain insights into analysts | getPriceTargetConsensus: Access analysts | getPriceTargetNews: Stay informed with real-time updates on analysts | getPriceTargetLatestNews: Stay updated with the most recent a			
lna-lab/distill-kura	kura_map	Show the whole index of ${cfg.label} — every memory		kura_glance: Confirm ONE memory from ${cfg.label} by its slug — the exact index line, the | kura_read: Read one whole memory from ${cfg.label} by its slug. Use after kura_glance (or | kura_recall: Recall from ${cfg.label} — long-term memory retrieved by MEANING, not keywords, then | kura_doctor: Health of ${cfg.label}: memory count, resolved and dead [[links]], islands nothing | kura_list: List the kura this server holds, how many memories each has, and which agent mode maps | kura_use: Switch which kura the following calls read from, for the rest of this session. Use when | kura_remember: Wri			
zilliztech/claude-context/mcp	clear_index	Clear the search index. IMPORTANT: You MUST provide an absolute path.		get_indexing_status: Get the current indexing status of a codebase. Shows progress percentage for actively indexing codeb			
jau123/MeiGen-AI-Design-MCP/tools	generate_image	Generate an image using AI. Supports MeiGen platform, local ComfyUI, or OpenAI-compatible APIs. Tip: get prompts from get_inspiration() or enhance_prompt(), and use gallery image U		comfyui_workflow: Manage ComfyUI workflow templates: list, view parameters, import from file, modify settings, or dele | enhance_prompt: Transform a simple idea into a professional image generation prompt. Use when the user provides a br | get_inspiration: Get the full prompt and all image URLs for a gallery entry. Show the images to the user as visual ex | list_models: List available AI image generation models and their capabilities. For up-to-date pricing, see https: | manage_preferences: Read or update user preferences: default style, aspect ratio, model, style notes, and favorite promp			
maorcc/gimp-mcp	draw_rectangle	Draw a rectangle outline (stroke only) on a layer.	x,y,width,height,color,line_width,layer_name,image_index	check_server: Check whether the GIMP MCP plugin socket is reachable and responding. | restart_server: Drop and re-establish the connection to the GIMP MCP plugin. | new_canvas: Create a new blank canvas in GIMP and open it in a display window. | get_image_bitmap: Get the current open image in GIMP as an Image object with optional scaling and region selection. | get_image_metadata: Get metadata about the current open image in GIMP without the bitmap data. | get_gimp_info: Get comprehensive information about the GIMP installation and environment. | get_state_snapshot: Return a live visual snapsh			
nickytonline/dev-to-mcp	get_comments	Get comments for a specific article	article_id	get_articles: Get articles from dev.to. Can filter by username, tag, or other parameters. | get_article: Get a specific article by ID or path | get_user: Get user information by ID or username | get_tags: Get popular tags from dev.to | search_articles: Search articles using query parameters			
ridafkih/keeper.sh	Pro	As many calendars as you want, and changes that land within a minute.		Free: Enough for two calendar accounts and three connections.			
shandar/HAL9000	get_volume			open_application: (no usable description) | open_url: (no usable description) | list_running_apps: (no usable description) | list_installed_apps: (no usable description) | app_action: (no usable description) | quit_application: (no usable description) | create_artifact: (no usable description) | update_artifact: (no usable description) | open_claude_code: (no usable description) | delegate_to_claude_code: (no usable description) | background_task: (no usable description) | list_tasks: (no usable description) | cancel_task: (no usable description) | orchestrate: (no usable description) | list_a			
YosefHayim/ebay-mcp/tools	ebay_get_signing_keys	Get all signing keys for the application. Returns public keys and metadata (private keys are not stored by eBay).		ebay_get_custom_policies: Retrieve custom policies defined for the seller account | ebay_create_custom_policy: Create a new custom policy | ebay_get_custom_policy: Get a specific custom policy by ID | ebay_update_custom_policy: Update an existing custom policy | ebay_get_fulfillment_policies: Get fulfillment policies for the seller.\n\nRequired OAuth Scope: sell.account.readonly or sell.acco | ebay_create_fulfillment_policy: Create a new fulfillment policy.\n\n | ebay_get_fulfillment_policy: Get a specific fulfillment policy by ID | ebay_get_fulfillment_policy_by_name: Get a fulfillment policy			
AKzar1el/mcp-geo/core	track_brand	Start tracking a brand's AI visibility. Creates the brand in the local database and generates buyer-intent prompts for it — via Claude Haiku when ANTHROPIC_API_KEY is configured, o		list_brands: List every brand tracked in the local database, with domain, category, competitors, refresh frequenc | generate_prompts: Regenerate the buyer-intent prompt set for a tracked brand using Claude Haiku (requires ANTHROPIC_AP			
antvis/mcp-server-antv/tools	query_antv_document	AntV Context Retrieval Assistant - Fetches relevant documentation, code examples, and best practices from official AntV resources. Supports ${Object.keys(ANTV_LIBRARY_META).join(					
YosefHayim/ebay-mcp/tools	ebay_get_rate_tables	Get seller rate tables		ebay_get_custom_policies: Retrieve custom policies defined for the seller account | ebay_create_custom_policy: Create a new custom policy | ebay_get_custom_policy: Get a specific custom policy by ID | ebay_update_custom_policy: Update an existing custom policy | ebay_get_fulfillment_policies: Get fulfillment policies for the seller.\n\nRequired OAuth Scope: sell.account.readonly or sell.acco | ebay_create_fulfillment_policy: Create a new fulfillment policy.\n\n | ebay_get_fulfillment_policy: Get a specific fulfillment policy by ID | ebay_get_fulfillment_policy_by_name: Get a fulfillment policy			
GabrielBrasileiro/combot-mcp	combot_explain_implementation			combot_anti_patterns: (no usable description) | combot_generate_test: (no usable description) | combot_explain_overview: (no usable description) | combot_explain_setup: (no usable description) | combot_explain_action: (no usable description) | combot_explain_assert: (no usable description) | combot_explain_test: (no usable description) | combot_explain_full_example: (no usable description)			
yogthos/wavescope-mcp	update_cursor_position	Notify the server of the editor's current cursor position. The server precomputes wavelet context around the cursor so that subsequent get_cursor_context calls return instantly. Ca	file,line,column	query_wavelet_context: Get a multi-resolution (fine/medium/coarse) view of code around a position. Fine band shows exact li | get_important_positions: Find structurally important positions (class/function boundaries, imports, etc.) in a file or direct | get_wavelet_coefficients: Get raw wavelet coefficients for a range of lines at a specific scale. Scales: 1-2 (fine/detailed),  | get_summary_at_scale: Get a compressed/summarized view of a region using wavelet peaks at a given scale. Larger scales giv | diff_wavelet_context: Compare wavelet structural boundaries of a file between two git revisi			
SkeneTechnologies/skene/skene	search_files	Regex search across text files under path. Returns up to 50 hits as {path, line, text}.		list_directory: List entries in path (relative to repo root). Build, dependency, and VCS dirs are filtered out autom | read_file: Read a text file. Truncates if larger than max_bytes and appends a [truncated ...] marker. | emit_milestone: Record a candidate milestone. `table` is the DB evidence — the table that proves the milestone exist | list_schema_files: List the application schema files. Supabase internal schemas (auth, storage, realtime, ...) are hidd | list_tables: Per-table summary for the given schema_file. Returns name, column_count, has_created_at, has_user_fk | describe_table: Full			
puravparab/Gitingest-MCP/gitingest_mcp	git_files	Get the content of specific files from a GitHub repository	owner,repo,file_paths,branch	git_summary: Get a summary of a GitHub repository that includes | git_tree: Get the tree structure of a GitHub repository			
designcomputer/mysql_mcp_server/mysql_mcp_server	get_schema_info	Get column metadata for a table or all tables in the configured database: column names, data types, nullability, default values, and comments. Call this before querying an unfamili	table_name	execute_sql: Execute a SQL statement against the MySQL server. Use for SELECT, DML (INSERT/UPDATE/DELETE), SHOW,  | get_table_sample: Fetch a small sample of rows from a table to understand its data format and content. Use alongside g			
ruvnet/metaharness	ping	Health probe — returns the harness name and a timestamp. No privileged capability.		bench-bot: benchmark | kickoff: Open a ${cfg.name} session with the harness conventions in context.			
ref-tools/ref-tools-mcp	my_docs	Search through your private documentation, repos, and PDFs that you		search_docs: A quick way to check technical documentation. This prompt helps you search documentation for any tec | query: The rest of your prompt or question you want informed by docs			
10div10/support-intel-agent	search_kb	Semantic search over the knowledge base using embeddings (Chroma vector DB) —	query,topic	search_reviews: Semantic search over stored reviews — finds reviews with similar meaning to the | get_sentiment: Return sentiment for a piece of text as {label, score} where score is -1..1. | classify_issue: Classify text as 'hardware', 'software', or 'other' based on keyword signals.			
agentcathq/agentcat-typescript-sdk	my_tool	Does something useful	inputSchema,msg				
aws-samples/sample-getting-started-with-strands-agents-course	divide	Divide x by y and return the result.	x,y	add: Add two numbers and return the result. | subtract: Subtract y from x and return the result. | multiply: Multiply two numbers and return the result. | get_skills: all of the skills that employees may have - use this list to figure out related skills | get_employees_with_skill: employees that have a specified skill - output includes fullname (First Last) and their skills			
AIdhirajSingh/clauderabbit	scan	Returns a ClaudeRabbit 0-100 safety score and verdict for a public GitHub repo (pass `owner` + `repo`) or an npm package (pass `package`). For npm it scans the REAL published regis					
