server_id	tool	description	input_fields	siblings	label	check	hint_conflict
secure-ssid/centralmcp	get_glp_workspace	Fetch basic GreenLake workspace information by workspace ID.	workspace_id	aos8_status, aos8_login, aos8_logout, aos8_get, aos8_show_command, aos8_list_aps, aos8_list_active_aps, aos8_list_controllers, aos8_list_clients, aos8_find_client, aos8_get_client_detail, aos8_get_cli	A0	-	n
gyozalab/focustodo-mcp	focustodo_delete_project	刪除清單或標籤。⚠️ 清單裡若還有未完成的任務，必須用 moveTasksTo 指定它們要搬去哪 ——	name,moveTasksTo	focustodo_list_projects, focustodo_list_tasks, focustodo_search_tasks, focustodo_get_task_detail, focustodo_get_today_focus, focustodo_get_stats, focustodo_create_task, focustodo_update_task, focustod	A2	After focustodo_delete_project, call focustodo_list_projects and expect the project to be absent.	n
sanjar-x/claudegram	list_groups	Группы и супергруппы.	archived,limit,include_supergroups,only_unread,is_pinned,min_participants,max_pa	health_check, get_server_version, get_telegram_config, get_app_config, get_nearest_dc, get_countries_list, invoke_raw, summarize_chat, get_admin_log, get_stats, create_group, create_channel, join_chat	A0	-	n
cognis-digital/canzap	canzap_scan	Replay, fuzz, and assert on CAN bus traffic from a .pcap or SocketCAN interface with a tiny YAML DSL.. Returns JSON findings.	target		A0	-	n
AzureManagedRedis/mcp-amr/tools	rename	Renames a Redis key from old_key to new_key.	old_key,new_key	hset, hget, hdel, hgetall, hexists, set_vector_in_hash, get_vector_from_hash, json_set, json_get, json_del, knowledge_store_put, knowledge_store_search, knowledge_store_clear, knowledge_store_info, lp	A2	After rename, call hget on the new key and expect the value to be there, with the old key absent.	n
zaydiscold/robinhood-cli-mcp-api	robinhood_documents	List a bounded newest-first page of account documents (account statements, trade confirms, 1099/1099_crypto/1099r_roth/5498_roth tax forms) across all accounts with their download_	type,year,limit	robinhood_api_map_summary, robinhood_api_map_directory, robinhood_brokerage_describe, robinhood_recipes, robinhood_options_order_flow, robinhood_options_diagnostics, robinhood_brokerage_routes, robinh	A0	-	n
tinybeachthor/workers-rs-mcp	echo	Echoes the input message back to the caller	message		A1	Call echo with the same input and expect the identical output.	n
gamaze-labs/hicortex/hicortex	hicortex_recent	Get recent memories, optionally filtered by project. CALL THIS AT THE START of substantive work on a project to catch up on its latest state — cheaper than asking the user what hap	project,limit	hicortex_search, hicortex_get, hicortex_ingest, hicortex_lessons, hicortex_index, hicortex_graph, hicortex_update, hicortex_delete	A2	After hicortex_update/ingest/delete, call hicortex_recent and expect the memory state to reflect the change.	n
veithly/ssh-client-mcp/tools	sftp_read	Read contents of a remote file.		ssh_exec, ssh_sudo_exec, ssh_connect, ssh_disconnect, ssh_list_sessions, sftp_upload, sftp_download, sftp_ls, sftp_mkdir, sftp_rm, sftp_stat, sftp_write, ssh_list_servers, ssh_get_server, ssh_test_con	A2	After sftp_upload/sftp_write, call sftp_read for the same path and expect the new contents.	n
andresdefi/zerodust/langchain	zerodust_info	Get information about ZeroDust service, including what it does, fee structure, and how to use it. Use this tool when the user asks about ZeroDust or needs to understand the service	schema	zerodust_get_chains, zerodust_get_balances, zerodust_get_quote, zerodust_get_sweep_status, zerodust_list_sweeps	A0	-	n
nagual69/MCP-Open-Discovery-with-AMQP	mcp_od_proxmox_list_networks	Returns network config for a Proxmox node.		mcp_od_credentials_add, mcp_od_credentials_get, mcp_od_credentials_list, mcp_od_credentials_remove, mcp_od_credentials_rotate_key, mcp_od_store_list, mcp_od_store_list_policies, mcp_od_store_search, m	A0	-	n
rafaelperoco/secretgenerator	generate_secret	Generate a high-entropy machine-readable secret from raw CSPRNG bytes.		generate_password, generate_passphrase, generate_api_key, generate_pin, assess_entropy, list_attacker_profiles, estimate_crack_time	A0	-	n
arclat-ai/relay-mcp	apply_fix	Apply a fix recommendation from the last audit to a file.	finding_rank,file_path,dry_run	audit_codebase, get_findings, verify_audit	A0	-	n
secure-ssid/centralmcp	locate_client	Get the approximate physical location of a client.	mac_address	aos8_status, aos8_login, aos8_logout, aos8_get, aos8_show_command, aos8_list_aps, aos8_list_active_aps, aos8_list_controllers, aos8_list_clients, aos8_find_client, aos8_get_client_detail, aos8_get_cli	A0	-	n
smizuoch/42-mcp-server	getAccreditation	Get detailed information about a specific accreditation	accreditationId	searchUsers, getCursusLevel, getUserProjects, getCoalition, getCampusUsers, getBalances, getClusters, getLocations, getAttachments, getAttachment, getProjects, getProject, getMyProjects, getAccreditat	A0	-	n
coo-quack/calc-mcp/tools	char_info	Get Unicode information about characters (code point, block, category)		base, base64, color, convert, count, cron_parse, date, datetime, diff, encode, format_validate, hash, ip, jwt_decode, luhn, math, random, regex, semver, url_parse	A1	Call char_info for the same character and expect the same Unicode metadata.	n
lcaliani/graylog-mcp	fetch_graylog_messages	Fetch messages from a Graylog instance.  Active instances: ${instanceList}. Default instance:			A0	-	n
Daniel-Barta/mcp-rag-server	list_files	List files (and subdirectories) within a directory under		rag_query, read_file	A0	-	n
open-latch/latch	latch_pm_preview	Render and digest an exact PM candidate without writing to the KB.	title,body,kind,status,links,workstream_id	kb_search, kb_get, kb_recent, kb_project_direction, kb_gate_report, kb_insert, kb_update, kb_append, kb_link, kb_unlink, kb_gate, kb_capture_decision, kb_verify, kb_correct_plan, kb_correct_apply, kb_	A0	-	n
Sequenzy/mcp/tools	get_popup_embed	Get a published popup		list_ab_tests, get_ab_test, get_ab_test_stats, restart_ab_test, update_ab_test, add_ab_test_variant, delete_ab_test, get_account, select_company, get_app_urls, create_company, get_company, get_shopify	A0	-	n
smizuoch/42-mcp-server	getAttachments	Retrieve attachments (PDFs, videos, links) with optional project filters	projectId,projectSessionId,pageSize,sort	searchUsers, getCursusLevel, getUserProjects, getCoalition, getCampusUsers, getBalances, getClusters, getLocations, getAttachment, getProjects, getProject, getMyProjects, getAccreditations, getAccredi	A0	-	n
lordbasilaiassistant-sudo/base-gasless-deploy-mcp	get_token_info	Get info about a deployed ERC-20 token: name, symbol, decimals, total supply, and owner balance.	token_address	deploy_gasless_token, estimate_gas_savings, list_deployed_tokens, transfer_tokens	A3	After deploy_gasless_token or transfer_tokens, call get_token_info and check the affected numeric supply/balance for the write's effect.	n
giulianoberteo/vcf-mcp	get_endpoint	Get full details for one API operation: HTTP method, path template, all	spec,operation_id	list_specs, search_endpoints, call_api	A0	-	n
aswinayyolath/kafka-mcp-server	list_topics	List all topics in the Kafka cluster.	include_internal	get_cluster_info, describe_topic, create_topic, delete_topic, send_message, send_batch_messages, consume_messages, get_topic_offsets, list_consumer_groups, describe_consumer_group, get_topic_metrics, 	A0	-	n
palimem/palimem	memory_search	Search governed memory-service records through the active OpenClaw memory slot. Returns OpenClaw-compatible snippets with path, score, and line metadata.		memory_get	A0	-	n
CRtheHILLS/OneClickLM/mcp	source_add	Add a source to a NotebookLM notebook. Supports URLs (web pages, articles), YouTube videos, and plain text content. The source will be processed and made available for queries.		notebook_list, notebook_get, notebook_query, notebook_create, source_list	A2	After source_add, call source_list and expect the new source to appear.	n
eliottreich/taskbounty-check	explain_finding	Explain what a finding means and why it matters, in plain language. Pass the rule id (e.g. unpinned-action) or a category. No network, no file access.		scan_repo, generate_fix_plan	A0	-	n
lurenss/linkedin-mcp	get_linkedin_profile	Get the authenticated user\		create_linkedin_post, create_linkedin_image_post, validate_linkedin_credentials	A0	-	n
reminia/task-tracker/task_tracker	get_active_tracking	Get the currently active tracking task		create_task, set_current_team, get_my_tasks, search_tasks, get_all_projects, start_tracking, stop_tracking, update_task_status, add_tracking_note	A2	After start_tracking/stop_tracking, call get_active_tracking and expect the active-task state to change.	n
magetsu002/opshaven	get_monitoring_status	Return configured monitoring service and probe evidence.		get_host_summary, get_deployed_commit, get_service_status, get_container_status, get_runtime_config_status, get_reverse_proxy_summary, get_firewall_summary, run_health_probe, get_redacted_logs, get_ba	A0	-	n
KennethanCeyer/build-game-with-ai	save_memory	판단, 이동 경로, 발견 사실 등 중요 정보를 런타임 작업 기억에 저장합니다.	key,value,source	load_memory, diagnose_engine_state, capture_visual_observation, capture_visual_crop, inspect_game_state, apply_input_buffer, adjust_camera_view	A0	-	n
palimem/palimem	memory_get	Read a governed memory record by subject key or by path alias such as memory/<topic>/<field>.md inside the workspace sandbox.		memory_search	A0	-	n
roccoangelella/PiLink	ls		path,limit	get_system_prompt, collaboration_bootstrap, agent_memory_get, agent_memory_query, agent_memory_boot_read, agent_memory_manifest_read, read, bash, run, edit, write, grep, find, agent_chat_post, agent_c	A2	After write/edit creates a file, call ls and expect the new file to appear in the directory listing.	n
tuckerschreiber/need	search_tools	Semantic search across 10,000+ verified CLI tools. Describe what you need in plain English.		install_tool, report_tool_usage	A0	-	n
ebowman/rescuetime-mcp/rescuetime_mcp	get_focus_session_status	Get current FocusTime session status from RescueTime.		get_analytic_data, get_daily_summary_feed, get_alerts_feed, get_highlights_feed, post_highlight, start_focus_session, end_focus_session, post_offline_time, health_check, get_latest_daily_summary, get_	A0	-	n
camelop/mcp-x	tool_fn				A0	-	n
whyy9527/ariadne	query_chains	Query cross-service chains by business term or endpoint name. Returns candidate clusters of related GraphQL operations, HTTP endpoints, Kafka topics, and frontend queries across al	hint,top_n	expand_node, show_help, rescan, rate_result	A2	After rescan, call query_chains and expect results from the refreshed index.	n
TeamSPWK/nova	orchestration_status	활성 오케스트레이션의 현재 상태를 조회합니다.		get_commands, get_rules, get_state, orchestrate, orchestration_start, orchestration_update, repo_preflight, x_verify	A2	After orchestration_start/orchestration_update, call orchestration_status and expect the updated state.	n
samueljayasingh/WhatsAppMCP	list_messages	Get WhatsApp messages matching specified criteria with optional context.	after,before,sender_phone_number,chat_jid,query,limit,page,include_context,conte	search_contacts, list_chats, get_chat, get_direct_chat_by_contact, get_contact_chats, get_last_interaction, get_message_context, send_message, send_file, send_audio_message, download_media	A0	-	n
vilasone455/vscode-context-mcp/tools	get_open_tabs	Retrieve a list of all open tabs/editors in VS Code.		get_vscode_context, get_attached_files, get_project_path, get_current_file, get_problems, get_terminal_content, run_command, read_file, read_multiple_files, write_file, modify_file, create_directory, 	A0	-	n
burnworks/mcp-a11y-learning-guide	get_wcag_criterion	特定のWCAG達成基準の詳細情報を取得します。達成基準ID（例：2.4.4）を指定してください。		search_accessibility_topic, list_available_topics	A0	-	n
synapticore-io/dust-analyzer/dust_analyzer	query_measurements	Messdaten aus dem CAMS-Datenarchiv abfragen (GitHub Release).	lat,lon,variable,limit	analyze_air_quality, show_air_quality_map, get_map_variable, compare_cities	A0	-	n
reminia/task-tracker/task_tracker	get_my_tasks	Get the Linear tasks assigned to me. Support task status: backlog, unstarted, started, completed, canceled, triage.Default is started and unstarted.	status	create_task, set_current_team, search_tasks, get_all_projects, start_tracking, stop_tracking, get_active_tracking, update_task_status, add_tracking_note	A0	-	n
peakmojo/mcp-server-zoom-noauth/mcp_server_zoom_noauth	zoom_refresh_token	Refresh the Zoom OAuth2 access token using the refresh token and client credentials for API access	zoom_access_token,zoom_refresh_token,zoom_client_id,zoom_client_secret	zoom_list_recordings, zoom_get_recording_details, zoom_get_meeting_transcript	A0	-	n
HarmonyChen110/mineru_mcp_project/mineru_mcp_server	convert_pdfs_with_mineru	批量调用 Mineru API 将 PDF 转为 HTML。	pdf_folder,output_folder,api_token,language,enable_table,extra_formats,poll_inte		A0	-	n
zaydiscold/robinhood-cli-mcp-api	robinhood_crypto_routes	List official Robinhood Crypto OpenAPI paths and methods.	offset,limit	robinhood_api_map_summary, robinhood_api_map_directory, robinhood_brokerage_describe, robinhood_recipes, robinhood_options_order_flow, robinhood_options_diagnostics, robinhood_brokerage_routes, robinh	A0	-	n
albidev/bdh-graph-harness	stats	Get graph statistics: neuron count, synapse count, Hebbian state, top hubs.	vault_id	query, hebbian, graph, refresh	A0	-	n
Knuckles-Team/audio-transcriber	health_check			transcribe_audio, audio_ingest_transcription	A0	-	n
eliottreich/taskbounty-check	scan_repo	Scan a LOCAL repository for GitHub Actions + CI maintenance hygiene. Reads only workflow files on disk; makes no network requests and uploads nothing. Returns a text summary of fin		explain_finding, generate_fix_plan	A0	-	n
Bayway/janusmcp	structured_result	Returns both text and structured MCP content.		ping, db_query, instance_id, multi_content, fail, delay	A0	-	n
benseverndev-oss/goldencheck/goldencheck-js	uniqueness	Finds primary key candidates and duplicates		scan, profile, health_score, list_checks, get_column_detail, list_domains, get_domain_info, type_inference, nullability, format_detection, range_distribution, cardinality, pattern_consistency, encodin	A0	-	n
smizuoch/42-mcp-server	getAttachment	Get detailed information about a specific attachment including PDF URLs	attachmentId,projectSessionId	searchUsers, getCursusLevel, getUserProjects, getCoalition, getCampusUsers, getBalances, getClusters, getLocations, getAttachments, getProjects, getProject, getMyProjects, getAccreditations, getAccred	A0	-	n
eliottreich/taskbounty-check	generate_fix_plan	Return a step-by-step fix plan as TEXT for a given rule (and optionally a local repo path for context). It NEVER modifies files; the user applies changes explicitly.		scan_repo, explain_finding	A0	-	n
Devansh-365/infographic-mcp	search_infographics_by_source	Search for infographic images from a specific curated source.	query,source,num_results	search_infographics, search_infographic_images	A0	-	n
bitflight-devops/mcp-json-yaml-toml/mcp_json_yaml_toml	data	Get, set, or delete data in JSON, YAML, or TOML files.	file_path,operation,key_path,value,value_type,data_type,return_type,output_forma	constraint_validate, constraint_list, data_convert, data_merge, data_diff, data_query, data_schema	A2	After data set/delete, call data_query and expect the stored data to reflect the change.	n
dohyung1/x402-fpl-api	league_analyzer	Predict who will win a mini-league based on current form, squad quality, and chips remaining.	league_id	captain_pick, differential_finder, fixture_outlook, price_predictions, transfer_suggestions, player_comparison, live_points, fpl_manager_hub, is_hit_worth_it, chip_strategy, rival_tracker, squad_scout	A0	-	n
bulatko/vk-mcp-server	count	How many recent posts to read (default 20)		community, sample, about, image, topic	A0	-	n
johnnyryan/Verity	consult_second_opinion	Consult two independent cross-family models (one per GPU) in		verify_answer	A0	-	n
Digital-Crew-Technologies/max-mcp-server	linkedin_get_company_profile	Get a LinkedIn company profile by its identifier or slug.		add_prospects_to_list, agent_draft_create, agent_draft_get, agent_draft_list, apollo_add_more, apollo_create_list, approve_inbox_draft, approve_proposal, archive_campaign, archive_chat, book_meeting, 	A0	-	n
johnnyryan/Verity	verify_answer	Audits an answer with critic models + NLI claim-check. Returns		consult_second_opinion	A0	-	n
github-yjc/context-chronicle/mcp	guardedBash	Execute a shell command after firewall checks. command is inspected against dangerous patterns and active constraints before execution.		memoryGraph, memoryHistory, memoryCompact, memoryStatus, memoryManage, memorySearch	A0	-	n
Gabrielm3/customer-intelligence-hub/crm_agent	create_campaign	Create a marketing campaign.	name,type,description	send_campaign_email	A0	-	n
giulianoberteo/vcf-mcp	list_specs	List the API specs available on this server ('fleet', 'vcf-ops', and 'sddc'), including		search_endpoints, get_endpoint, call_api	A0	-	n
github-yjc/context-chronicle/mcp	memoryGraph	Manage and inspect knowledge graph entities and relations		memoryHistory, memoryCompact, memoryStatus, memoryManage, guardedBash, memorySearch	A0	-	n
prathmeshnik/Obsidian-Notes-MCP-Server	read_note	Reads the content of a specific note from the vault.	filename	list_notes, list_folders	A0	-	n
lordbasilaiassistant-sudo/base-gasless-deploy-mcp	deploy_gasless_token	Deploy an ERC-20 token on Base using CDP Paymaster (zero gas for user). Falls back to normal gas if no paymaster configured. Requires DEPLOYER_PRIVATE_KEY.	name,symbol,supply,owner_address	get_token_info, estimate_gas_savings, list_deployed_tokens, transfer_tokens	A0	-	n
nwant/obsidian-ai-curator/tools	run_benchmark	Execute search benchmark scenarios and track performance metrics		Default	A0	-	n
roccoangelella/PiLink	agent_work_list	List durable collaboration work lifecycles and public session IDs. Only a server-verified manager role may use this to identify workers that can be explicitly released.	lifecycles,limit	get_system_prompt, collaboration_bootstrap, agent_memory_get, agent_memory_query, agent_memory_boot_read, agent_memory_manifest_read, read, bash, run, edit, write, grep, find, ls, agent_chat_post, age	A0	-	n
Devansh-365/infographic-mcp	search_infographics	Search for infographic-related web pages, articles, and galleries.	query,num_results	search_infographic_images, search_infographics_by_source	A0	-	n
call518/MCP-MySQL-Ops/mcp_mysql_ops	get_user_list	[Tool Purpose]: List all MySQL users and their privileges	database_name	get_server_info, get_active_connections, get_database_list, get_table_list, get_table_schema_info, get_mysql_config, get_server_status, get_table_size_info, get_database_size_info, get_index_usage_sta	A0	-	n
lifeodyssey/share-html/worker	get_public_share	Fetch public metadata for a Share HTML slug.		describe_share_html, create_share	A0	-	n
KennethanCeyer/build-game-with-ai	adjust_camera_view	카메라의 각도(yaw, pitch)와 줌(zoom)을 조정합니다.	yaw_delta_degrees,pitch_delta_degrees,zoom_delta	save_memory, load_memory, diagnose_engine_state, capture_visual_observation, capture_visual_crop, inspect_game_state, apply_input_buffer	A0	-	n
secure-ssid/centralmcp	clearpass_get_network_device	Get a ClearPass network device (NAD) by name or numeric ID.	name,device_id	aos8_status, aos8_login, aos8_logout, aos8_get, aos8_show_command, aos8_list_aps, aos8_list_active_aps, aos8_list_controllers, aos8_list_clients, aos8_find_client, aos8_get_client_detail, aos8_get_cli	A0	-	n
aaearon/mcp-privilege-cloud/mcp_privilege_cloud	count_sessions	Count privileged sessions with optional filtering.	search	create_account, change_account_password, set_next_password, verify_account_password, reconcile_account_password, update_account, delete_account, import_platform_package, export_platform, duplicate_tar	A0	-	n
nwant/obsidian-ai-curator/tools	Default	Standard project starter		run_benchmark	A0	-	n
Rvlndd/Tor-Crawler-MCP	crawl-tor	Crawl a Tor website and i will give you the full webpage to you, and its up to you to explain that, please explain all.	url		A0	-	n
D0NMEGA/MoltGrid	send_message	Send a message to another agent via relay		memory_get, memory_set, memory_list, check_inbox, submit_job, claim_job, vector_search, heartbeat	A0	-	n
bulatko/vk-mcp-server	topic	What to search for, e.g. indie music		community, count, sample, about, image	A0	-	n
UnCooe/debug-runbook/mcp	investigate	Performs Runbook-driven automated investigation for backend incidents, returning a structured incident report (root cause, evidence, recommended next actions).	context_id,context_type,symptom,expected		A0	-	n
lloydzhou/bitable-mcp/bitable_mcp	list_table			describe_table, read_query	A0	-	n
to-aoki/tiny_chat	search_collection_tool	Search the specified collection	query,top_k,score_threshold		A0	-	n
pbv7/worksection-mcp/worksection_mcp	get_user_activity	Get activity log for a specific user.	user_id,period,max_results	get_activity_log, get_project_stats, get_overdue_tasks, get_tasks_by_status, get_tasks_by_priority, get_team_workload_summary, get_comments, get_task_discussion, get_project_files, get_task_files, get	A0	-	n
antonio-mello-ai/mcp-google/mcp_google	calendar_create_event	Create a calendar event.	title,start,end,account	calendar_today, calendar_week, gmail_list_unread, gmail_get_message, gmail_send	A2	After calendar_create_event, call calendar_today or calendar_week and expect the new event.	n
zuohuiyang/dump-analyzer-mcp-server/dump_analyzer_mcp_server	start_analysis_session	Start a crash dump analysis session and load the dump file and symbols. sym_noisy defaults to true so the session enables !sym noisy before later commands. For hosts without visibl		prepare_dump_upload, execute_windbg_command, start_async_windbg_command, get_async_windbg_command_status, get_async_windbg_command_result, close_analysis_session	A0	-	n
Mnemoclaw/smartrabbit-mcp	get_program_options	Get all available options for fitness program parameters (goals, equipment, styles, etc.)		generate_fitness_program	A0	-	n
mntlabs/devserver-mcp	get_error_summary	Get a comprehensive summary of all detected errors	limit	get_dev_server_status, get_file_errors, clear_error_history, get_error_history, watch_for_errors, suggest_monitoring_setup	A2	After clear_error_history, call get_error_summary and expect the cleared errors no longer to appear.	n
omermaksutii/RugProof	compile	Run		fork, kill_fork, send_raw_tx, snapshot, revert, list_forks, get_source_code, get_abi, get_runtime_code, get_constructor_args, get_storage_at, get_tx, get_trace, resolve_proxy, search, get_finding, ref	A0	-	n
JackHP/MCP-YouTube-Transcribe	get_youtube_transcript	Search for a YouTube video and get its transcript. If no official transcript exists, generates one using Whisper.	query,force_whisper		A0	-	n
my-mcp-hub/node-mcp-server/tools	search_documents	Search the built-in MCP knowledge base and return readable resource URIs.	query,limit		A0	-	n
lee-s-dev/youtube-research-mcp/youtube_research_mcp	collect_research_sources	Search YouTube and collect transcript-ready sources for analysis.	query,max_videos,min_duration_seconds,max_duration_seconds,languages,published_a	get_transcript, search_videos, get_video_comments, collect_video_discussion, collect_research_discussions, analyze_videos, analyze_channel, get_quota_usage, get_capabilities	A0	-	n
donlothario/stash_mcp_server/stash_mcp_server	advanced_performer_analysis	Advanced performer analysis with progress reporting.	performer_name,include_similar,deep_scene_analysis	get_performer_info, get_all_performers, get_all_scenes, get_all_scenes_from_performer, health_check, batch_performer_insights	A0	-	n
edrich13/mcp-jira-server	jira_update_issue	Update an existing Jira issue		jira_get_issue, jira_search_issues, jira_create_issue, jira_add_comment, jira_get_comments, jira_get_projects, jira_get_project, jira_get_issue_types, jira_assign_issue, jira_delete_issue, jira_get_cu	A2	After jira_update_issue, call jira_get_issue and expect the updated fields.	n
mariow/aviation-weather-mcp	wx_pireps	Get pilot reports (PIREPs) near an airport. Reports recent turbulence, icing, cloud tops, and other in-flight observations.	icao,radius_nm	wx_metar, wx_taf, wx_sigmets, wx_icon_d2, wx_preflight, wx_route	A0	-	n
aaearon/mcp-privilege-cloud/mcp_privilege_cloud	duplicate_target_platform	Duplicate/clone an existing target platform in CyberArk Privilege Cloud.	target_platform_id,name,description	create_account, change_account_password, set_next_password, verify_account_password, reconcile_account_password, update_account, delete_account, import_platform_package, export_platform, activate_targ	A0	-	n
Daniel-Barta/mcp-rag-server	rag_query	Semantically search files under		read_file, list_files	A0	-	n
RFingAdam/drawio-engineering-mcp/tools	create_emc_test_setup	Generates an EMC test setup cross-section diagram from a template and opens it in draw.io.		create_pcb_stackup, create_rf_block_diagram, export_drawio, markup_schematic, open_drawio_csv, open_drawio_engineering, open_drawio_mermaid, open_drawio_xml, read_drawio	A0	-	n
nagual69/MCP-Open-Discovery-with-AMQP	mcp_od_proxmox_list_containers	Returns all LXC containers for a Proxmox node.		mcp_od_credentials_add, mcp_od_credentials_get, mcp_od_credentials_list, mcp_od_credentials_remove, mcp_od_credentials_rotate_key, mcp_od_store_list, mcp_od_store_list_policies, mcp_od_store_search, m	A0	-	n
whyy9527/ariadne	rescan	Refresh the Ariadne index from inside the conversation. Call this when query_chains or expand_node returned a `stale_warning`, or after you know the user's code has changed. Re-sca		query_chains, expand_node, show_help, rate_result	A2	After rescan, call query_chains and expect the refreshed index/search state to be observable.	n
RFingAdam/drawio-engineering-mcp/tools	create_rf_block_diagram	Generates an RF signal chain block diagram from a JSON description and opens it in draw.io.		create_emc_test_setup, create_pcb_stackup, export_drawio, markup_schematic, open_drawio_csv, open_drawio_engineering, open_drawio_mermaid, open_drawio_xml, read_drawio	A0	-	n
ghostvyle/Unburden	google_dork	🔍 Advanced Google-style dork builder with full parameter control.	main,include_sites,exclude_sites,filetypes,inurl,intitle,intext,ext_buckets,extr	list_exploits, list_payloads, generate_payload, run_exploit, run_auxiliary_module, list_active_sessions, send_session_command, attach_session_interactive, list_listeners, start_listener, stop_job, ter	A0	-	n
Cyreslab-AI/builtwith-mcp-server/handlers	technology_search	Find domains using a specific technology		domain_lookup	A0	-	n
thejusdutt/deep-search-mcp	deep_search_news	Searches for recent news articles on a topic, fetches full article content, and returns consolidated results. Optimized for news and current events.	query	deep_search	A0	-	n
SeequentEvo/evo-mcp/evo_mcp	staging_list_interactions	List all interactions available for a staged object type.	object_type	create_workspace, get_workspace_summary, create_workspace_snapshot, workspace_copy_object, workspace_duplicate_workspace, find_duplicate_objects, preview_duplicate_scan, compare_evo_objects_detailed, 	A0	-	n
LiorStrugach/task-manager-mcp	save_notes	Save notes to the system.	notes_text	get_all_tasks_tool, get_task_tool, get_all_plan_steps_tool, get_plan_step_tool, get_notes_tool, add_task, update_task, delete_task, add_plan_step, update_plan_step, delete_plan_step, toggle_plan_step,	A2	After save_notes, call get_notes_tool and expect the saved note.	n
LiorStrugach/task-manager-mcp	toggle_plan_step	Toggle the completion status of a plan step.	step_id	get_all_tasks_tool, get_task_tool, get_all_plan_steps_tool, get_plan_step_tool, get_notes_tool, add_task, update_task, delete_task, add_plan_step, update_plan_step, delete_plan_step, save_notes, expor	A2	After toggle_plan_step, call get_plan_step and expect the changed completion status.	n
Abhinavexists/MCP_Server	get_alerts	Get weather alert for US states.	state	get_forcast	A0	-	n
mj-kiwi/matomo-js/matomo-mcp-server	matomo_sites_manager_get_site_urls_from_id	Get all URLs registered for a site	idSite	matomo_sites_manager_get_javascript_tag, matomo_sites_manager_get_image_tracking_code, matomo_sites_manager_get_sites_from_group, matomo_sites_manager_get_sites_groups, matomo_sites_manager_get_site_f	A0	-	n
Kareem404/eda-agent	execute_code_geninfo	Tool for executing code that involves asking a question about the dataframe (e.g. who is the oldest person or what is the standard deviation of column x). It expects code generated	code	upload_csv, execute_code_modifying, execute_code_plotting	A2	After upload_csv, call execute_code_geninfo and expect the uploaded data to be queryable.	n
lloydzhou/bitable-mcp/bitable_mcp	read_query		sql	list_table, describe_table	A0	-	n
CarC96/google-tag-manager-mcp/gtm_mcp	list_containers	Lists all containers in a GTM account.	account_id	list_accounts, get_account, list_user_permissions, list_built_in_variables, get_container, get_container_snippet, list_tags, get_tag, create_tag, update_tag, delete_tag, list_triggers, get_trigger, cr	A0	-	n
caitao-ct/knowledge-base	get_document	获取完整文档内容	path	search_knowledge, refresh_index	A0	-	n
tuckerschreiber/need	report_tool_usage	Report whether a tool worked or failed. Improves future search rankings for all agents.		search_tools, install_tool	A0	-	n
njoerd114/kubecon-eu-mcp/kubecon_eu_mcp	find_speaker	Find sessions by a specific speaker.	name	search_sessions, get_schedule, find_parties, plan_party_route, get_venue_info, get_hotel_info, get_travel_info, get_colocated_events, get_conference_overview, score_sessions, detect_conflicts	A0	-	n
NimbleBrainInc/mpak	bundles	Bundle management API		mcp-registry, health	A0	-	n
albidev/bdh-graph-harness	hebbian	Get the full Hebbian synaptic state — all learned connections between notes.	vault_id	query, stats, graph, refresh	A0	-	n
donlothario/stash_mcp_server/stash_mcp_server	get_performer_info	Return detailed information for a single performer (cached).	performer_name	get_all_performers, get_all_scenes, get_all_scenes_from_performer, health_check, advanced_performer_analysis, batch_performer_insights	A0	-	n
lifeodyssey/share-html/worker	create_share	Publish one HTML page as either an unlisted or access-key protected sandboxed share.		describe_share_html, get_public_share	A2	After create_share, call get_public_share for the slug and expect the share metadata.	n
NimbleBrainInc/mpak	health	Health check endpoints		bundles, mcp-registry	A0	-	n
hfujikawa77/ardupilot-mcp-server	download_mission			arm, disarm, takeoff, change_mode, get_status, get_position, clear_mission, upload_star_mission, start_mission	A0	-	n
ronantakizawa/search-history-mcp	get_recent_history	Get the most recent browsing history entries.	limit,browser	search_history, get_most_visited	A0	-	n
magetsu002/opshaven	get_container_status	Return structured status for a configured container.		get_host_summary, get_deployed_commit, get_service_status, get_runtime_config_status, get_reverse_proxy_summary, get_firewall_summary, run_health_probe, get_redacted_logs, get_monitoring_status, get_b	A0	-	n
bhvbhushan/codeledger/tools	model_stats	Analyze which models are being used and potential cost savings	period	agent_usage, budget_set, budget_status, cost_optimize, cross_tool_cost, project_usage, skill_usage, usage_summary	A0	-	n
musantro/iracing-mcp/iracing_mcp	get_irating_chart	Get the iRating data for a specific license category.	category	get_iracing_profile_stats	A0	-	n
fantasy-lotus/mcp-email-docker	notify	send notification by email			A0	-	n
Sauravroy34/ResearchPaperMCP	get_paper_id	Search for a paper by title/keywords and return all available IDs	query	search_web, fetch_web_content, academic_research, find_related_papers	A0	-	n
magetsu002/opshaven	get_service_status	Return structured status for a configured system service.		get_host_summary, get_deployed_commit, get_container_status, get_runtime_config_status, get_reverse_proxy_summary, get_firewall_summary, run_health_probe, get_redacted_logs, get_monitoring_status, get	A0	-	n
Yuyu123fish/codex-win-to-wsl	wsl_exec	Execute one user-requested non-interactive shell invocation in WSL, in the required project working directory, and return structured output. Make one tool call per requested execut			A0	-	n
